listing_id,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
45392,97,10,10,10,10,9,10
45417,97,10,10,10,10,10,10
45429,85,9,9,10,10,9,9
45556,97,10,10,10,10,10,10
45890,97,10,10,10,10,9,10
45936,93,9,9,10,10,10,9
45940,96,10,10,10,10,10,10
45987,92,9,9,9,9,10,9
46022,99,9,10,10,10,10,10
46446,96,10,10,10,10,9,10
46544,94,10,9,10,10,10,9
46699,92,10,9,10,10,7,9
46853,98,10,10,10,10,10,10
46858,97,10,9,10,10,10,10
46900,95,10,10,10,10,10,10
46911,96,10,9,10,10,10,10
46929,98,10,10,10,10,10,10
47078,95,10,9,10,10,10,10
47196,93,10,10,10,9,9,9
47362,89,9,9,10,10,8,9
47370,90,10,10,10,10,10,10
47478,95,10,9,10,10,10,10
47491,94,9,9,10,10,9,9
47521,88,9,9,9,9,8,9
47537,98,10,10,10,10,10,9
47559,98,10,10,10,10,9,9
47794,100,10,10,10,10,10,9
48118,99,10,10,10,10,9,10
48319,96,10,9,9,9,9,9
48719,95,10,9,9,9,10,9
48848,99,10,10,10,10,10,10
48885,100,10,9,10,10,10,10
49523,97,10,9,10,10,10,10
49573,98,10,10,10,10,9,10
49715,95,10,10,10,10,9,10
50032,95,9,9,9,9,10,9
50233,100,10,10,10,10,10,10
50310,95,10,10,10,10,9,10
50334,100,10,10,10,10,10,10
50358,98,10,9,10,10,9,10
50447,97,9,9,10,10,10,10
50726,100,10,10,8,10,8,10
51100,97,10,8,10,10,10,10
51307,92,9,9,10,10,10,9
51485,86,9,8,9,9,9,9
51498,95,10,10,10,10,10,9
51510,95,10,9,10,10,10,9
51533,90,,,,,,
51546,98,10,10,10,10,10,10
51778,91,9,8,10,10,8,9
51826,99,10,9,10,10,10,10
51850,88,9,9,9,9,8,9
51922,88,9,9,9,9,10,9
52517,100,10,10,10,10,10,10
52525,92,9,9,10,10,10,10
52740,92,10,9,9,10,9,9
52757,94,10,10,10,10,9,9
52871,98,10,10,10,10,10,10
52874,92,9,9,10,10,10,9
53053,94,10,10,10,10,10,9
53125,84,8,8,9,9,10,8
53283,60,10,4,10,10,6,2
53469,87,9,9,9,10,9,9
53482,100,10,10,10,10,10,9
53579,90,9,9,9,9,10,9
53630,90,9,9,10,10,9,9
53803,96,10,9,10,10,10,10
53867,96,10,10,10,10,9,10
53940,100,10,10,10,10,10,10
53945,96,9,9,10,10,10,10
54001,97,10,10,10,10,10,10
54158,93,9,9,10,10,10,9
54254,88,9,9,10,9,8,9
54325,95,10,9,10,10,10,9
54382,100,10,10,10,10,10,10
54453,90,8,9,9,9,10,9
54544,93,9,9,9,9,9,9
54626,96,10,10,10,10,9,9
54628,100,10,10,10,10,9,9
54829,97,10,10,10,10,9,10
54860,96,10,10,10,10,9,10
54948,97,10,10,10,10,10,9
55320,95,10,9,10,10,9,9
55427,91,9,9,9,9,9,9
55470,95,10,9,10,10,10,9
55505,91,9,8,10,10,8,8
55565,93,10,9,10,10,9,9
55590,97,10,10,10,10,10,10
55959,96,10,9,10,10,10,10
56027,97,9,9,10,10,9,9
56185,97,10,10,10,10,10,10
56690,98,10,10,10,10,10,9
56859,92,9,9,9,9,9,9
56867,93,10,9,10,10,9,9
57156,89,9,9,9,9,9,9
57187,97,10,10,10,10,10,10
57297,93,10,10,10,10,10,9
57618,96,10,9,10,10,10,9
57874,96,10,10,10,10,9,10
58101,86,9,9,9,9,10,8
58294,98,10,9,10,10,10,10
58503,94,9,9,10,10,10,9
59425,100,10,10,9,10,9,9
59431,94,9,9,10,10,9,9
59631,96,10,9,10,10,10,10
59708,90,10,10,10,10,9,10
59827,87,9,9,9,9,9,8
59838,88,9,10,10,10,9,9
60029,95,9,9,10,10,8,9
60164,86,9,8,9,9,9,8
60356,94,9,9,10,10,10,9
60611,97,10,10,10,10,9,10
60680,87,9,8,9,9,9,8
60864,96,10,10,10,10,10,10
60940,93,10,9,10,10,8,9
61153,80,9,9,8,8,10,8
61224,92,9,9,9,10,10,9
61482,97,9,9,10,10,9,9
61578,99,10,10,10,10,10,10
61582,97,10,10,10,10,10,10
61677,94,9,9,10,10,9,9
62219,100,10,10,10,10,10,10
62230,92,9,9,10,10,9,9
62274,96,10,10,10,10,10,10
62468,96,9,9,10,10,10,10
62658,96,9,9,10,10,10,10
62787,88,9,9,9,9,8,9
62949,96,10,10,10,10,9,10
63285,97,10,10,10,10,9,10
63299,93,9,9,10,10,9,9
63308,98,10,10,10,10,10,10
63320,86,9,8,9,9,8,9
63360,93,9,9,10,10,9,9
63373,97,10,10,10,10,10,10
63416,100,10,10,10,10,10,10
63421,94,9,9,10,10,9,9
63693,88,9,8,9,9,9,8
63719,92,10,9,9,10,8,9
63733,97,10,10,10,10,10,10
63891,88,9,10,10,10,9,8
63934,100,10,10,10,10,10,10
64000,97,10,9,9,10,9,8
64277,88,9,8,9,10,7,8
64361,90,9,9,9,10,9,9
64376,93,9,9,10,10,9,9
64557,94,9,10,10,10,9,9
64574,100,10,10,10,10,10,10
65019,97,10,10,10,10,10,9
65466,98,10,10,10,10,10,10
65615,93,10,10,10,10,9,9
65660,95,9,10,9,10,9,9
65763,96,9,9,10,10,10,9
65834,100,10,10,10,10,10,10
65891,92,9,10,10,10,10,9
65974,93,8,8,9,9,8,9
66026,95,9,8,9,10,8,9
66246,98,10,10,10,10,10,10
66451,90,9,8,9,9,10,9
66456,98,10,9,10,10,9,10
66540,95,9,9,10,10,9,10
66611,88,9,8,10,9,9,9
66718,86,9,9,10,10,8,9
66740,96,10,9,10,10,10,9
66741,96,10,10,10,10,10,9
66796,100,10,10,10,10,10,10
66944,96,10,9,10,10,10,10
66972,97,10,10,10,10,9,10
67089,98,10,10,10,10,10,10
67208,96,10,10,10,10,10,10
67270,96,10,10,10,10,10,10
67299,98,10,10,10,10,10,10
67441,100,10,10,10,10,10,10
67532,96,10,10,10,10,10,10
67672,95,10,9,10,10,10,9
67774,97,10,10,10,10,10,10
67792,97,10,9,10,10,10,9
68099,85,8,8,9,9,9,9
68130,97,10,10,10,10,10,10
68255,97,10,10,10,10,9,10
68816,91,9,9,10,10,10,9
68900,97,10,9,10,10,10,10
68974,96,10,10,10,10,10,9
69303,98,10,10,10,10,10,10
69352,95,10,10,10,10,10,10
69369,95,9,9,10,10,8,9
69385,96,10,9,10,10,10,10
69755,96,10,10,10,10,9,9
69810,99,10,10,10,10,9,10
69838,95,10,9,10,10,9,10
69978,99,10,10,10,10,10,10
70216,99,10,10,10,10,8,9
70609,94,9,9,10,10,9,9
70639,97,10,10,10,10,10,10
70659,94,10,10,10,9,10,9
70812,98,10,10,10,10,10,10
70829,97,10,10,10,10,10,10
71504,98,10,10,10,10,10,10
71507,90,9,8,10,10,10,9
71514,97,10,10,10,10,10,10
71930,95,10,9,10,10,10,9
72005,94,10,9,10,10,9,9
72186,94,10,9,10,10,9,10
72190,89,9,8,10,10,10,9
72288,92,9,9,10,10,9,9
72318,99,10,10,10,10,10,10
72465,94,9,10,10,10,9,9
72633,98,10,10,10,10,10,9
72702,90,9,9,9,9,9,9
72706,94,9,10,10,10,10,9
72743,97,10,10,10,10,9,10
72833,97,10,10,10,10,10,10
73005,99,10,10,10,10,9,10
73812,89,9,9,9,9,9,9
73898,90,9,10,10,10,10,9
74073,100,10,10,10,10,10,9
74240,92,9,9,10,9,10,9
74328,93,9,10,9,10,9,9
74498,97,10,10,10,10,9,10
74716,97,10,10,10,10,10,10
74770,97,10,10,10,10,10,10
